task_id,device_id,task_size_MB,energy_J,deadline_ms,priority,cpu_usage,memory_MB,buffer_size,network_latency_ms,target_server
1,52,3.8361892729585403,6.2777008684040245,460,2,71.70966230977791,421.0631195440538,2,32.87611639658688,CLOUD2
2,93,23.38818085531173,8.603597449187292,189,2,57.11803478092161,1598.7612700754432,38,82.0791064965102,CLOUD1
3,15,0.808205174102971,7.818356787205176,446,3,31.996728831752257,1058.0177455888652,14,35.53057622767588,CLOUD2
4,72,17.653392352185094,4.025143574980129,377,2,85.0390822177645,1074.1577858247642,31,22.63725001050092,FOG1
5,61,4.2907679548554665,6.264319638728221,239,1,62.26521798153173,788.0131438636593,30,42.60490501850613,FOG2
6,21,7.373068138284481,4.816738412889686,174,2,87.6381317153426,1742.7710931618444,27,16.7850941224254,CLOUD2
7,83,15.82239338236299,7.124199562396118,462,1,56.40936264336246,704.8218773260061,36,49.670600250306,CLOUD1
8,87,21.574164628971864,4.816376885472859,212,1,75.69542066908912,278.86554527240844,46,69.17764469139911,FOG2
9,75,4.227863892028676,3.422606981581467,109,2,75.04843035156215,675.1850885466956,31,40.04061887366103,CLOUD2
10,75,6.196058341334694,7.746811884700508,462,1,36.986302146687365,1459.1717379089828,42,21.493092114367524,FOG1
11,88,5.353165340949845,5.635591101446739,80,2,87.12165783657825,1349.4055849263248,6,48.05376079992527,CLOUD2
12,100,0.13339611821447378,3.6729406573815373,382,2,11.75531740780512,457.2325917517979,43,77.43647708529747,CLOUD2
13,24,3.5089580233413327,4.002547399852354,125,2,71.49687270139313,312.39016829938987,45,12.276453905909099,FOG1
14,3,6.146858464126431,3.6601587111230316,292,1,87.2445668611235,1355.644940963318,18,11.739026592227258,FOG2
15,22,5.29488036450732,2.9965051345805676,366,3,37.112656262697826,1385.1159877443333,14,35.220520246119676,FOG1
16,53,12.79879620409069,4.0449693155128985,307,2,61.848847023277756,795.6843107000843,20,44.430014803368216,FOG2
17,2,4.858137405562059,5.746042427462413,466,2,54.977859987536846,1701.3226287052514,11,25.564824394197327,FOG2
18,88,6.721226510133553,5.12812134037236,239,2,70.92058477412189,1958.589887219842,37,7.556509964195062,FOG2
19,30,5.614324733411623,4.123566127235682,426,2,79.2942337316042,490.72592455385126,40,25.85816598181046,CLOUD2
20,38,13.494848174792562,7.991014937594448,364,2,58.24356554396384,1196.430559841454,4,46.36013782800748,CLOUD1
21,2,19.87572906197364,0.978733052240722,345,2,75.27236691051655,110.15802510748442,44,12.54559772144109,CLOUD1
22,64,7.590500004793767,5.612271830311421,226,1,34.982846071140415,1454.803352449946,6,73.0097237211772,CLOUD2
23,60,15.579475598909415,4.714481490364813,337,2,28.28696469638535,887.1360157703037,23,57.44958021897187,FOG2
24,21,3.5209499368336026,3.0596375404070395,343,3,44.453415162627216,467.2115311160132,8,46.27182088123282,FOG1
25,33,7.795106441975378,5.728908691575436,397,2,64.21892796646266,1529.2216513523147,30,54.27762510522367,FOG1
